subcategory,category
Acne,Face treatments
Botox,Face treatments
Facial,Face treatments
Microdermabrasion,Face treatments
NuFace,Face treatments
Peels,Face treatments
General,Face treatments
Electrolysis,Hair removal
Hair bleaching,Hair removal
Laser,Hair removal
Shaving,Hair removal
Sugaring,Hair removal
Threading,Hair removal
Waxing,Hair removal
General,Hair removal
Blowouts,Hair salon
Braids,Hair salon
Color,Hair salon
Haircut,Hair salon
Hair extensions,Hair salon
Highlights / lowlights,Hair salon
Kids,Hair salon
Men¡¯s cut,Hair salon
Special occasion,Hair salon
Hair treatments,Hair salon
Women¡¯s cuts,Hair salon
Updo,Hair salon
General,Hair salon
Makeup application,Makeup / lashes / brows
Bridal,Makeup / lashes / brows
Eyelash extensions,Makeup / lashes / brows
Latisse,Makeup / lashes / brows
Microblading,Makeup / lashes / brows
Permanent,Makeup / lashes / brows
Semi-permanent,Makeup / lashes / brows
Threading,Makeup / lashes / brows
Trial,Makeup / lashes / brows
General,Makeup / lashes / brows
Acne,Med spa
Body contouring,Med spa
Botox,Med spa
Chemical peel,Med spa
Dermabrasion / microdermabrasion,Med spa
Dermal fillers,Med spa
Dermaplaning,Med spa
Face lift,Med spa
Hair removal,Med spa
Hair replacement,Med spa
Juvederm,Med spa
Laser hair removal,Med spa
Light therapy,Med spa
Liposuction,Med spa
Microblading,Med spa
NuFace,Med spa
Permanent makeup,Med spa
Rejuvenation,Med spa
Scar removal,Med spa
Skin tightening,Med spa
Sclerotherapy,Med spa
General,Med spa
Acrylic,Nails
Gel,Nails
Manicure,Nails
Pedicure,Nails
General,Nails
Organic,Tanning
Spray tan,Tanning
Sunless bed,Tanning
General,Tanning
Body,Tattoo / piercing
Body art,Tattoo / piercing
Consultation,Tattoo / piercing
Ear,Tattoo / piercing
Henna,Tattoo / piercing
Removal,Tattoo / piercing
General,Tattoo / piercing
